"temperature_diff_fall","blk","nov_germ","pop","dam","sire","nov_size","mar_surv","mar_size","fruit_count","total_est_seeds","temperature_diff_annual","precip_diff_spring","first_fl_julian","last_fl_julian"
1.18789374775554,4,1,"AY","AY32","AY08",5,1,6,6,238,1.07563886883077,22.536,153,161
-1.30174405621358,4,1,"AC","AC38","AC21",4,1,10,0,0,-1.16308459944283,17.9914166666667,NA,NA
0.337740556280742,4,1,"BD","BD01","BD27",3,1,6,0,0,0.241250192442601,17.3059166666667,NA,NA
-1.09630163156466,4,1,"AZ","AZ19","AZ17",NA,1,8,0,0,-0.458115330717411,23.7940833333333,NA,NA
0.697264799416338,4,1,"AD","AD57.1","AD72.1",4,1,6,0,0,0.650124776131934,6.504,NA,NA
0.697264799416338,4,1,"AD","AD54.2","AD52.2",4,1,6,0,0,0.650124776131934,6.504,NA,NA
1.9434352962999,4,1,"BC","BC69","BC68",4,1,6,0,0,1.81169988714482,13.35525,NA,NA
1.9434352962999,4,1,"BC","BC36","BC69",4,1,4,0,0,1.81169988714482,13.35525,NA,NA
-1.59233695949987,4,1,"AS","AS26","AS24",NA,1,6,0,0,-0.582039452406355,31.9469166666667,NA,NA
-0.693526351660861,4,1,"AX","AX04","AX31",4,1,8,13,423,-1.47343268247347,23.0090833333333,153,165
0.337740556280742,4,1,"BD","BD07","BD47",4,1,8,21,665,0.241250192442601,17.3059166666667,154,176
-0.693526351660861,4,1,"AX","AX25","AX17",4,1,6,0,0,-1.47343268247347,23.0090833333333,NA,NA
-1.59233695949987,4,1,"AS","AS20","AS13",3,1,6,0,0,-0.582039452406355,31.9469166666667,NA,NA
-1.30174405621358,4,1,"AC","AC38","AC21",1,1,6,0,0,-1.16308459944283,17.9914166666667,NA,NA
-0.0420576103399504,4,1,"AQ","AQ53.3","AQ13.1",4,1,8,0,0,0.100867327730135,0.82075,NA,NA
-1.30174405621358,4,1,"AC","AC05","AC17",4,1,6,0,0,-1.16308459944283,17.9914166666667,NA,NA
-1.59233695949987,4,1,"AS","AS37","AS20",5,1,6,0,0,-0.582039452406355,31.9469166666667,NA,NA
1.66500674710466,4,1,"BB","BB18","BB33",4,1,6,0,0,1.57928002067038,12.0278333333333,NA,NA
1.54336320619412,4,1,"BE","BE43","BE03",5,1,6,0,0,1.24112109069663,18.5796666666667,NA,NA
-1.09630163156466,4,1,"AZ","AZ50","AZ43",4,1,4,0,0,-0.458115330717411,23.7940833333333,NA,NA
1.9434352962999,4,1,"BC","BC33","BC65",4,1,6,0,0,1.81169988714482,13.35525,NA,NA
-0.0420576103399504,4,1,"AQ","AQ02.1","AQ16.1",3,1,6,0,0,0.100867327730135,0.82075,NA,NA
1.18789374775554,4,1,"AY","AY10","AY37",2,1,6,0,0,1.07563886883077,22.536,NA,NA
1.54336320619412,4,1,"BE","BE15","BE35",3,1,6,0,0,1.24112109069663,18.5796666666667,NA,NA
-1.4869125573774,4,1,"AR","AR06","AR12",4,1,6,0,0,-0.641963376758893,28.6254166666667,NA,NA
-1.30174405621358,4,1,"AC","AC08","AC44",4,1,6,0,0,-1.16308459944283,17.9914166666667,NA,NA
1.54336320619412,4,1,"BE","BE03","BE41",3,1,6,0,0,1.24112109069663,18.5796666666667,NA,NA
-0.142075632866406,4,1,"BK","BK56","BK67",4,1,4,0,0,0.211170732375449,20.6783333333333,NA,NA
1.66500674710466,4,1,"BB","BB05","BB07",4,1,6,0,0,1.57928002067038,12.0278333333333,NA,NA
1.66500674710466,4,1,"BB","BB37","BB15",3,1,4,0,0,1.57928002067038,12.0278333333333,NA,NA
0.67834247083026,4,1,"BN","BN40","BN48",4,1,6,0,0,0.771337408031165,7.8483333333333,NA,NA
-0.0420576103399504,4,1,"AQ","AQ13.1","AQ17.2",3,1,6,0,0,0.100867327730135,0.82075,NA,NA
-1.09630163156466,4,1,"AZ","AZ38","AZ49",4,1,8,0,0,-0.458115330717411,23.7940833333333,NA,NA
-0.693526351660861,4,1,"AX","AX06","AX39",4,1,10,0,0,-1.47343268247347,23.0090833333333,NA,NA
0.67834247083026,4,1,"BN","BN17","BN31",4,1,2,0,0,0.771337408031165,7.8483333333333,NA,NA
-1.4869125573774,4,1,"AR","AR11","AR06",4,1,6,0,0,-0.641963376758893,28.6254166666667,NA,NA
1.66500674710466,4,1,"BB","BB35","BB18",3,1,4,0,0,1.57928002067038,12.0278333333333,NA,NA
0.697264799416338,4,1,"AD","AD52.2","AD62.1",5,1,4,0,0,0.650124776131934,6.504,NA,NA
1.18789374775554,4,1,"AY","AY48","AY23",3,1,6,0,0,1.07563886883077,22.536,NA,NA
0.697264799416338,4,1,"AD","AD86.1","AD77.3",3,1,4,0,0,0.650124776131934,6.504,NA,NA
1.18789374775554,4,1,"AY","AY10","AY37",3,1,6,0,0,1.07563886883077,22.536,NA,NA
-1.4869125573774,4,1,"AR","AR40","AR50",5,1,6,0,0,-0.641963376758893,28.6254166666667,NA,NA
1.54336320619412,4,1,"BE","BE29","BE22",4,1,8,0,0,1.24112109069663,18.5796666666667,NA,NA
-1.59233695949987,4,1,"AS","AS46","AS30",3,1,8,NA,NA,-0.582039452406355,31.9469166666667,NA,NA
0.67834247083026,4,1,"BN","BN40","BN48",3,1,6,0,0,0.771337408031165,7.8483333333333,NA,NA
0.67834247083026,4,1,"BN","BN07","BN03",3,1,6,0,0,0.771337408031165,7.8483333333333,NA,NA
1.9434352962999,4,1,"BC","BC70","BC13",3,1,4,0,0,1.81169988714482,13.35525,NA,NA
-1.30174405621358,4,1,"AC","AC17","AC13",NA,1,6,0,0,-1.16308459944283,17.9914166666667,NA,NA
-1.09630163156466,4,1,"AZ","AZ26","AZ36",3,1,2,0,0,-0.458115330717411,23.7940833333333,NA,NA
-0.0420576103399504,4,1,"AQ","AQ30.3","AQ39.3",3,1,4,0,0,0.100867327730135,0.82075,NA,NA
-1.09630163156466,1,1,"AZ","AZ13","AZ22",4,0,NA,0,0,-0.458115330717411,23.7940833333333,NA,NA
-1.30174405621358,1,1,"AC","AC08","AC44",3,1,8,0,0,-1.16308459944283,17.9914166666667,NA,NA
-1.30174405621358,1,1,"AC","AC03","AC15",4,1,10,5,152,-1.16308459944283,17.9914166666667,159,193
0.67834247083026,1,1,"BN","BN50","BN02",3,1,8,0,0,0.771337408031165,7.8483333333333,NA,NA
0.337740556280742,1,1,"BD","BD27","BD04",3,1,6,0,0,0.241250192442601,17.3059166666667,NA,NA
-1.09630163156466,1,1,"AZ","AZ36","AZ13",3,1,8,0,0,-0.458115330717411,23.7940833333333,NA,NA
-1.4869125573774,1,1,"AR","AR06","AR12",4,1,4,0,0,-0.641963376758893,28.6254166666667,NA,NA
-1.59233695949987,1,1,"AS","AS20","AS13",4,1,10,0,0,-0.582039452406355,31.9469166666667,NA,NA
1.59877859705336,1,1,"BG","BG15","BG43",3,1,10,0,0,1.37611712902688,27.69175,NA,NA
0.67834247083026,1,0,"BN","BN17","BN31",NA,0,NA,0,0,0.771337408031165,7.8483333333333,NA,NA
1.54336320619412,1,0,"BE","BE04","BE33",NA,0,NA,0,0,1.24112109069663,18.5796666666667,NA,NA
-1.4869125573774,1,0,"AR","AR16","AR02",NA,0,NA,0,0,-0.641963376758893,28.6254166666667,NA,NA
0.697264799416338,1,1,"AD","AD52.2","AD62.1",4,1,4,0,0,0.650124776131934,6.504,NA,NA
-0.693526351660861,1,1,"AX","AX15","AX05",4,1,10,0,0,-1.47343268247347,23.0090833333333,NA,NA
1.9434352962999,1,1,"BC","BC68","BC63",3,1,8,NA,NA,1.81169988714482,13.35525,NA,NA
-1.30174405621358,1,1,"AC","AC18","AC19",4,1,8,0,0,-1.16308459944283,17.9914166666667,NA,NA
1.66500674710466,1,1,"BB","BB07","BB02",4,1,8,NA,NA,1.57928002067038,12.0278333333333,NA,NA
0.337740556280742,1,1,"BD","BD47","BD37",NA,1,4,1,31,0.241250192442601,17.3059166666667,165,165
-0.0420576103399504,1,1,"AQ","AQ16.1","AQ54.3",2,1,10,13,632,0.100867327730135,0.82075,161,216
-1.09630163156466,1,1,"AZ","AZ43","AZ34",4,1,6,0,0,-0.458115330717411,23.7940833333333,NA,NA
0.337740556280742,1,1,"BD","BD07","BD47",4,0,NA,0,0,0.241250192442601,17.3059166666667,NA,NA
-0.142075632866406,1,1,"BK","BK63","BK46",NA,1,6,0,0,0.211170732375449,20.6783333333333,NA,NA
-1.4869125573774,1,1,"AR","AR27","AR32",NA,1,6,2,24,-0.641963376758893,28.6254166666667,161,161
1.9434352962999,1,1,"BC","BC62","BC23",4,1,8,3,102,1.81169988714482,13.35525,181,193
1.59877859705336,1,1,"BG","BG17","BG16",NA,1,4,0,0,1.37611712902688,27.69175,NA,NA
1.54336320619412,1,0,"BE","BE35","BE19",NA,0,NA,0,0,1.24112109069663,18.5796666666667,NA,NA
-1.30174405621358,1,1,"AC","AC21","AC47",4,1,12,3,112,-1.16308459944283,17.9914166666667,159,161
1.66500674710466,1,1,"BB","BB35","BB18",3,1,8,NA,NA,1.57928002067038,12.0278333333333,NA,NA
0.697264799416338,1,1,"AD","AD77.3","AD87.1",3,1,6,0,0,0.650124776131934,6.504,NA,NA
0.67834247083026,1,1,"BN","BN07","BN03",3,1,6,0,0,0.771337408031165,7.8483333333333,NA,NA
-1.4869125573774,1,1,"AR","AR43","AR30",5,1,10,0,0,-0.641963376758893,28.6254166666667,163,163
0.697264799416338,1,0,"AD","AD80.1","AD86.1",NA,0,NA,0,0,0.650124776131934,6.504,NA,NA
-1.09630163156466,1,1,"AZ","AZ06","AZ41",3,1,8,0,0,-0.458115330717411,23.7940833333333,NA,NA
0.337740556280742,1,1,"BD","BD05","BD44",3,1,8,0,0,0.241250192442601,17.3059166666667,NA,NA
-1.4869125573774,1,1,"AR","AR46","AR43",3,1,6,0,0,-0.641963376758893,28.6254166666667,NA,NA
-1.30174405621358,1,1,"AC","AC08","AC44",4,1,8,1,29,-1.16308459944283,17.9914166666667,169,169
1.54336320619412,1,1,"BE","BE17","BE13",3,1,8,0,0,1.24112109069663,18.5796666666667,NA,NA
1.18789374775554,1,1,"AY","AY05","AY34",NA,1,4,0,0,1.07563886883077,22.536,NA,NA
0.337740556280742,1,0,"BD","BD37","BD50",NA,0,NA,0,0,0.241250192442601,17.3059166666667,NA,NA
-1.30174405621358,1,1,"AC","AC47","AC03",4,1,6,0,0,-1.16308459944283,17.9914166666667,NA,NA
0.67834247083026,1,0,"BN","BN40","BN48",NA,0,NA,0,0,0.771337408031165,7.8483333333333,NA,NA
1.54336320619412,1,0,"BE","BE43","BE03",NA,0,NA,0,0,1.24112109069663,18.5796666666667,NA,NA
-1.59233695949987,1,1,"AS","AS13","AS35",5,1,8,0,0,-0.582039452406355,31.9469166666667,NA,NA
0.697264799416338,1,1,"AD","AD67.2","AD80.1",5,1,8,4,145,0.650124776131934,6.504,159,181
1.66500674710466,1,1,"BB","BB13","BB48",NA,1,10,4,121,1.57928002067038,12.0278333333333,161,193
1.59877859705336,1,0,"BG","BG01","BG10",NA,0,NA,0,0,1.37611712902688,27.69175,NA,NA
-1.59233695949987,1,1,"AS","AS22","AS33",4,0,NA,0,0,-0.582039452406355,31.9469166666667,NA,NA
1.18789374775554,1,1,"AY","AY48","AY23",3,0,NA,0,0,1.07563886883077,22.536,NA,NA
1.66500674710466,1,1,"BB","BB37","BB15",4,1,8,0,0,1.57928002067038,12.0278333333333,NA,NA
1.9434352962999,1,1,"BC","BC62","BC23",4,1,8,0,0,1.81169988714482,13.35525,NA,NA
-1.09630163156466,1,1,"AZ","AZ47","AZ26",3,1,12,11,390,-0.458115330717411,23.7940833333333,163,193
-0.693526351660861,1,1,"AX","AX31","AX06",5,1,12,5,124,-1.47343268247347,23.0090833333333,161,202
0.697264799416338,1,1,"AD","AD72.1","AD93.3",3,1,8,0,0,0.650124776131934,6.504,NA,NA
-0.693526351660861,1,1,"AX","AX44","AX23",4,1,12,8,368,-1.47343268247347,23.0090833333333,154,202
1.66500674710466,1,1,"BB","BB02","BB05",3,0,NA,0,0,1.57928002067038,12.0278333333333,NA,NA
-1.09630163156466,1,1,"AZ","AZ29","AZ06",4,1,6,0,0,-0.458115330717411,23.7940833333333,NA,NA
-0.693526351660861,1,1,"AX","AX04","AX31",5,0,NA,0,0,-1.47343268247347,23.0090833333333,NA,NA
1.18789374775554,1,0,"AY","AY38","AY12",NA,0,NA,0,0,1.07563886883077,22.536,NA,NA
-0.142075632866406,1,0,"BK","BK76","BK60",NA,0,NA,0,0,0.211170732375449,20.6783333333333,NA,NA
-1.30174405621358,1,1,"AC","AC25","AC38",1,0,NA,0,0,-1.16308459944283,17.9914166666667,NA,NA
1.9434352962999,1,0,"BC","BC44","BC67",NA,0,NA,0,0,1.81169988714482,13.35525,NA,NA
-0.693526351660861,1,1,"AX","AX25","AX17",NA,1,4,0,0,-1.47343268247347,23.0090833333333,NA,NA
-0.142075632866406,1,1,"BK","BK67","BK72",3,1,6,0,0,0.211170732375449,20.6783333333333,NA,NA
-1.30174405621358,1,1,"AC","AC25","AC38",4,1,6,0,0,-1.16308459944283,17.9914166666667,NA,NA
0.337740556280742,1,0,"BD","BD17","BD05",NA,0,NA,0,0,0.241250192442601,17.3059166666667,NA,NA
-0.142075632866406,1,1,"BK","BK41","BK62",3,0,NA,0,0,0.211170732375449,20.6783333333333,NA,NA
-0.142075632866406,1,1,"BK","BK41","BK62",1,0,NA,0,0,0.211170732375449,20.6783333333333,NA,NA
1.9434352962999,1,1,"BC","BC54","BC37",3,1,10,2,64,1.81169988714482,13.35525,159,163
1.9434352962999,1,1,"BC","BC33","BC65",3,1,8,0,0,1.81169988714482,13.35525,NA,NA
-1.59233695949987,1,1,"AS","AS26","AS24",4,1,12,5,169,-0.582039452406355,31.9469166666667,159,176
-0.0420576103399504,1,0,"AQ","AQ48.3","AQ20.2",NA,0,NA,0,0,0.100867327730135,0.82075,NA,NA
-1.30174405621358,1,1,"AC","AC23","AC08",4,0,NA,0,0,-1.16308459944283,17.9914166666667,NA,NA
1.59877859705336,1,0,"BG","BG10","BG22",NA,0,NA,0,0,1.37611712902688,27.69175,NA,NA
-1.30174405621358,1,1,"AC","AC44","AC24",4,1,12,0,0,-1.16308459944283,17.9914166666667,NA,NA
-1.09630163156466,1,0,"AZ","AZ07","AZ47",NA,0,NA,0,0,-0.458115330717411,23.7940833333333,NA,NA
0.337740556280742,1,0,"BD","BD07","BD47",NA,0,NA,0,0,0.241250192442601,17.3059166666667,NA,NA
-0.142075632866406,1,1,"BK","BK51","BK53",2,0,NA,0,0,0.211170732375449,20.6783333333333,NA,NA
0.67834247083026,1,0,"BN","BN48","BN08",NA,0,NA,0,0,0.771337408031165,7.8483333333333,NA,NA
1.66500674710466,1,1,"BB","BB04","BB02",NA,1,6,0,0,1.57928002067038,12.0278333333333,NA,NA
-0.693526351660861,1,1,"AX","AX23","AX09",2,1,4,0,0,-1.47343268247347,23.0090833333333,NA,NA
-0.0420576103399504,1,1,"AQ","AQ10.2","AQ26.1",4,1,6,0,0,0.100867327730135,0.82075,NA,NA
-0.693526351660861,1,1,"AX","AX04","AX31",3,1,10,0,0,-1.47343268247347,23.0090833333333,NA,NA
0.697264799416338,1,1,"AD","AD93.2","AD54.2",3,1,6,0,0,0.650124776131934,6.504,NA,NA
0.67834247083026,1,1,"BN","BN09","BN29",3,1,12,0,0,0.771337408031165,7.8483333333333,NA,NA
-1.59233695949987,1,1,"AS","AS48","AS06",4,1,12,NA,NA,-0.582039452406355,31.9469166666667,NA,NA
-0.0420576103399504,1,1,"AQ","AQ26.1","AQ42.3",3,1,4,0,0,0.100867327730135,0.82075,NA,NA
-0.693526351660861,1,1,"AX","AX15","AX05",3,1,6,0,0,-1.47343268247347,23.0090833333333,NA,NA
1.9434352962999,1,0,"BC","BC69","BC68",NA,0,NA,0,0,1.81169988714482,13.35525,NA,NA
1.18789374775554,1,0,"AY","AY33","AY07",NA,0,NA,0,0,1.07563886883077,22.536,NA,NA
