genotype,concentration,length
Col-0,0.01,9.86
phyB-9,0.01,13.33
Ber-0,0,9.22
Br-0,0,12.62
Rsch-0,0,10.49
Se-0,0,12.53
Col-0,0,11.99
phyB-9,0,13.26
Ber-0,37,4.54
Br-0,37,7.49
Rsch-0,37,4.28
Se-0,37,6.41
Col-0,37,4.33
phyB-9,37,12.9
Ber-0,17,6.1
Br-0,17,7.28
Rsch-0,17,5.98
Se-0,17,8.83
Col-0,17,6.12
phyB-9,17,13.24
Ber-0,3.3,5.98
Br-0,3.3,6.55
Rsch-0,3.3,4.14
Se-0,3.3,10.85
Col-0,3.3,3.92
phyB-9,3.3,11.68
Ber-0,1.4,5.89
Br-0,1.4,6.18
Rsch-0,1.4,3.09
Se-0,1.4,11.85
Col-0,1.4,5.15
phyB-9,1.4,13.44
Ber-0,0.2,9.75
Br-0,0.2,8.8
Rsch-0,0.2,6.94
Se-0,0.2,NA
Col-0,0.2,7.69
phyB-9,0.2,12.77
Ber-0,0.1,8.89
Br-0,0.1,12.65
Rsch-0,0.1,7.55
Se-0,0.1,10.29
Col-0,0.1,8.16
phyB-9,0.1,9.16
Ber-0,0.01,13.67
Br-0,0.01,10.14
Rsch-0,0.01,10.52
Se-0,0.01,11.68
Col-0,0.01,9.12
phyB-9,0.01,12.82
Ber-0,0,11.9
Br-0,0,13.04
Rsch-0,0,12
Se-0,0,11.17
Col-0,0,10.31
phyB-9,0,13.52
Ber-0,37,4.82
Br-0,37,7.82
Rsch-0,37,3.55
Se-0,37,10.46
Col-0,37,5.36
phyB-9,37,11.91
Ber-0,17,5.91
Br-0,17,12.85
Rsch-0,17,4.61
Se-0,17,10.55
Col-0,17,6.04
phyB-9,17,13.9
Ber-0,3.3,4.65
Br-0,3.3,10.64
Rsch-0,3.3,5.06
Se-0,3.3,10.48
Col-0,3.3,6.02
phyB-9,3.3,11.28
Ber-0,1.4,6.6
Br-0,1.4,7.64
Rsch-0,1.4,3.03
Se-0,1.4,8.87
Col-0,1.4,3.05
phyB-9,1.4,13.56
Ber-0,0.2,6.66
Br-0,0.2,9.43
Rsch-0,0.2,6.07
Se-0,0.2,NA
Col-0,0.2,7.41
phyB-9,0.2,9.55
Ber-0,0.1,9.83
Br-0,0.1,12.41
Rsch-0,0.1,6.91
Se-0,0.1,15.06
Col-0,0.1,5.5
phyB-9,0.1,12.38
Ber-0,0.01,10.24
Br-0,0.01,8.38
Rsch-0,0.01,8.9
Se-0,0.01,8.17
Col-0,0.01,8.36
phyB-9,0.01,12.65
Ber-0,0,15.02
Br-0,0,10.14
Rsch-0,0,10.75
Se-0,0,11.81
Col-0,0,13.07
phyB-9,0,13.72
Ber-0,37,3.67
Br-0,37,10.26
Rsch-0,37,3.25
Se-0,37,8.89
Col-0,37,5.02
phyB-9,37,13.38
Ber-0,17,5.19
Br-0,17,7.83
Rsch-0,17,3.47
Se-0,17,11.67
Col-0,17,5.5
phyB-9,17,13.49
Ber-0,3.3,4.54
Br-0,3.3,8.53
Rsch-0,3.3,4.9
Se-0,3.3,11.81
Col-0,3.3,3.9
phyB-9,3.3,9.94
Ber-0,1.4,5.95
Br-0,1.4,7.71
Rsch-0,1.4,4.41
Se-0,1.4,9.16
Col-0,1.4,3.39
phyB-9,1.4,8.46
