genotype,concentration,length
Col-0,0.04,9.18
Col-0,0.01,10.77
Gie-0,0,14.49
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,2.82
Gie-0,0.63,4.28
Gie-0,0.16,7.85
Gie-0,0.04,9.51
Gie-0,0.01,10.97
Nok-0,0,9.49
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,1.9
Nok-0,0.63,NA
Nok-0,0.16,3.34
Nok-0,0.04,NA
Nok-0,0.01,10.91
RLD1,0,14.11
RLD1,25,1.16
RLD1,10,1.4
RLD1,2.5,1.69
RLD1,0.63,4.31
RLD1,0.16,6.61
RLD1,0.04,11.65
RLD1,0.01,11.25
Se-0,0,11.63
Se-0,25,1.34
Se-0,10,2.19
Se-0,2.5,4.42
Se-0,0.63,5.83
Se-0,0.16,8.14
Se-0,0.04,12.7
Se-0,0.01,13.19
bzr22-1,0,9.91
bzr22-1,25,4.58
bzr22-1,10,4.81
bzr22-1,2.5,6.21
bzr22-1,0.63,7.47
bzr22-1,0.16,5.51
bzr22-1,0.04,8.92
bzr22-1,0.01,11.78
Col-0,0,9.7
Col-0,25,1.33
Col-0,10,1.4
Col-0,2.5,2.66
Col-0,0.63,6.23
Col-0,0.16,4.14
Col-0,0.04,9.98
Col-0,0.01,7.2
Gie-0,0,12.99
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,2.55
Gie-0,0.63,6.43
Gie-0,0.16,8.04
Gie-0,0.04,7.65
Gie-0,0.01,11.92
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,2.07
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,8.38
RLD1,0,10.07
RLD1,25,1.03
RLD1,10,1.82
RLD1,2.5,2.11
RLD1,0.63,4.32
RLD1,0.16,6.12
RLD1,0.04,9.3
RLD1,0.01,12.51
Se-0,0,9.41
Se-0,25,1.76
Se-0,10,1.99
Se-0,2.5,3.1
Se-0,0.63,5.22
Se-0,0.16,7.28
Se-0,0.04,9.71
Se-0,0.01,12.02
bzr22-1,0,6.92
bzr22-1,25,5.23
bzr22-1,10,3.22
bzr22-1,2.5,5.79
bzr22-1,0.63,4.32
bzr22-1,0.16,5
bzr22-1,0.04,7.86
bzr22-1,0.01,11.76
Col-0,0,11.29
Col-0,25,1.42
Col-0,10,1.55
Col-0,2.5,1.85
Col-0,0.63,3.75
Col-0,0.16,7.31
Col-0,0.04,9.58
Col-0,0.01,10.35
Gie-0,0,8.49
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,2.57
Gie-0,0.63,4.27
Gie-0,0.16,8.64
Gie-0,0.04,10.16
Gie-0,0.01,12.54
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,2.95
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,9.28
RLD1,0,11.47
RLD1,25,1.49
RLD1,10,1.07
RLD1,2.5,2.38
RLD1,0.63,4.17
RLD1,0.16,5.7
RLD1,0.04,9.31
RLD1,0.01,9.55
Se-0,0,10.74
Se-0,25,NA
Se-0,10,2.03
Se-0,2.5,3.73
Se-0,0.63,5.45
Se-0,0.16,6.56
Se-0,0.04,11.69
Se-0,0.01,13.62
bzr22-1,0,8.05
bzr22-1,25,4.42
bzr22-1,10,NA
bzr22-1,2.5,6.4
bzr22-1,0.63,9.09
bzr22-1,0.16,9.55
bzr22-1,0.04,8.37
bzr22-1,0.01,8.74
Col-0,0,9.95
Col-0,25,1.64
Col-0,10,1.65
Col-0,2.5,3.01
Col-0,0.63,5.84
Col-0,0.16,7.6
Col-0,0.04,9.67
Col-0,0.01,9.11
Gie-0,0,10.07
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,2.98
Gie-0,0.63,5.26
Gie-0,0.16,7.52
Gie-0,0.04,10.72
Gie-0,0.01,10.41
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,8.98
RLD1,0,14.1
RLD1,25,1.53
RLD1,10,1.49
RLD1,2.5,2.38
RLD1,0.63,3.28
RLD1,0.16,6.62
RLD1,0.04,9.66
RLD1,0.01,11.59
Se-0,0,11.89
Se-0,25,NA
Se-0,10,1.88
Se-0,2.5,4.58
Se-0,0.63,3.87
Se-0,0.16,9.87
Se-0,0.04,14.21
Se-0,0.01,11.52
bzr22-1,0,6.27
bzr22-1,25,3.89
bzr22-1,10,NA
bzr22-1,2.5,5.91
bzr22-1,0.63,5.78
bzr22-1,0.16,6.88
