genotype,concentration,length
Mir-0,3.71,4.34
Gre-0,3.88,5.09
Mt-0,3.37,2.18
Col-0,2.48,NA
GA1,2.56,2.55
Sf-2,5.81,5.86
Mir-0,4.32,3.5
Gre-0,4.75,5.9
Mt-0,2.76,2.04
Col-0,3.39,NA
GA1,2.37,2.09
Sf-2,9.74,5.43
Mir-0,7.78,8.62
Gre-0,6.14,6.52
Mt-0,5.83,6.36
Col-0,3.11,NA
GA1,2.55,2.93
Sf-2,7.55,8.52
Mir-0,9.03,6.5
Gre-0,6.64,5.14
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,2.18
Sf-2,8.22,8.62
Mir-0,6.92,7.72
Gre-0,7.9,6.23
Mt-0,5.32,4.29
Col-0,5.09,NA
GA1,2.25,2.37
Sf-2,8.37,6.95
Mir-0,6.86,5.95
Gre-0,6.45,NA
Mt-0,5.29,4.87
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,7.29
Mir-0,6.96,5.8
Gre-0,4.67,4.31
Mt-0,2.89,2.35
Col-0,2.12,NA
GA1,2.07,2.7
Sf-2,5.99,5.62
Mir-0,4,4.31
Gre-0,5.31,3.1
Mt-0,2.77,2.19
Col-0,3.36,1.21
GA1,2.31,1.71
Sf-2,5.91,6.78
Mir-0,3.71,3.34
Gre-0,3.88,2.03
Mt-0,3.37,3.86
Col-0,2.48,NA
GA1,2.56,2.04
Sf-2,5.81,6.11
Mir-0,4.32,3.27
Gre-0,4.75,3.44
Mt-0,2.76,2.83
Col-0,3.39,NA
GA1,2.37,1.81
Sf-2,9.74,5.1
Mir-0,7.78,10.29
Gre-0,6.14,7.25
Mt-0,5.83,4.71
Col-0,3.11,NA
GA1,2.55,2.94
Sf-2,7.55,9.63
Mir-0,9.03,7.25
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,2.16
Sf-2,8.22,8.56
Mir-0,6.92,7.35
Gre-0,7.9,7.25
Mt-0,5.32,5.72
Col-0,5.09,NA
GA1,2.25,2.17
Sf-2,8.37,6.54
Mir-0,6.86,6.06
Gre-0,6.45,NA
Mt-0,5.29,4.77
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,7.29
Mir-0,6.96,5.57
Gre-0,4.67,4.59
Mt-0,2.89,2.92
Col-0,2.12,NA
GA1,2.07,1.97
Sf-2,5.99,4.8
Mir-0,4,3.51
Gre-0,5.31,4.02
Mt-0,2.77,2.74
Col-0,3.36,2.11
GA1,2.31,2.1
Sf-2,5.91,5.55
Mir-0,3.71,3.14
Gre-0,3.88,5.12
Mt-0,3.37,2.36
Col-0,2.48,NA
GA1,2.56,2.17
Sf-2,5.81,3.53
Mir-0,4.32,4.69
Gre-0,4.75,3.65
Mt-0,2.76,1.99
Col-0,3.39,NA
GA1,2.37,2.38
Sf-2,9.74,9.87
Mir-0,7.78,8.23
Gre-0,6.14,4.4
Mt-0,5.83,3.85
Col-0,3.11,NA
GA1,2.55,2.24
Sf-2,7.55,8.46
Mir-0,9.03,6.95
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,2.3
Sf-2,8.22,6.04
Mir-0,6.92,8.67
Gre-0,7.9,6.96
Mt-0,5.32,5.71
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,7.73
Mir-0,6.86,6.68
Gre-0,6.45,NA
Mt-0,5.29,4.31
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,5.27
Mir-0,6.96,5.73
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,2.84
Mir-0,4,5.53
Gre-0,5.31,NA
Mt-0,2.77,2.63
Col-0,3.36,NA
GA1,2.31,2.25
Sf-2,5.91,6.15
Mir-0,3.71,2.93
Gre-0,3.88,3.26
Mt-0,3.37,1.92
Col-0,2.48,NA
GA1,2.56,1.82
Sf-2,5.81,5.96
Mir-0,4.32,4.58
Gre-0,4.75,3.31
Mt-0,2.76,2.5
Col-0,3.39,NA
GA1,2.37,2.36
Sf-2,9.74,9.89
Mir-0,7.78,7.12
Gre-0,6.14,7.87
Mt-0,5.83,5.13
Col-0,3.11,NA
GA1,2.55,2.11
Sf-2,7.55,8.79
Mir-0,9.03,6.38
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,2.01
Sf-2,8.22,8.47
Mir-0,6.92,8.41
Gre-0,7.9,5.98
Mt-0,5.32,4.87
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,7.38
Mir-0,6.86,5.01
Gre-0,6.45,NA
Mt-0,5.29,4.04
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,7.67
Mir-0,6.96,6.68
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,5.96
Mir-0,4,5.16
Gre-0,5.31,NA
Mt-0,2.77,3.25
Col-0,3.36,NA
GA1,2.31,2.68
Sf-2,5.91,6.51
Mir-0,3.71,2.33
Gre-0,3.88,3.47
Mt-0,3.37,2.83
Col-0,2.48,NA
GA1,2.56,2.17
Sf-2,5.81,4.76
Mir-0,4.32,2.87
Gre-0,4.75,3.87
Mt-0,2.76,2.57
Col-0,3.39,NA
GA1,2.37,1.91
Sf-2,9.74,9.22
Mir-0,7.78,9.84
Gre-0,6.14,6.15
Mt-0,5.83,4.85
Col-0,3.11,NA
GA1,2.55,2.19
Sf-2,7.55,6.49
Mir-0,9.03,8.67
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,2.39
Sf-2,8.22,5.72
Mir-0,6.92,8.59
Gre-0,7.9,5.95
Mt-0,5.32,5.5
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,5.35
Mir-0,6.86,7.05
Gre-0,6.45,NA
Mt-0,5.29,3.81
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,5.96
Mir-0,6.96,4.64
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,4.09
Mir-0,4,4.79
Gre-0,5.31,NA
Mt-0,2.77,3.21
Col-0,3.36,NA
GA1,2.31,1.63
Sf-2,5.91,6.94
Mir-0,3.71,4.37
Gre-0,3.88,3.68
Mt-0,3.37,2.9
Col-0,2.48,NA
GA1,2.56,1.94
Sf-2,5.81,6.23
Mir-0,4.32,3.92
Gre-0,4.75,3.22
Mt-0,2.76,2.29
Col-0,3.39,NA
GA1,2.37,2.39
Sf-2,9.74,10.17
Mir-0,7.78,7.77
Gre-0,6.14,5.66
Mt-0,5.83,5.42
Col-0,3.11,NA
GA1,2.55,2.45
Sf-2,7.55,8.98
Mir-0,9.03,6.85
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,2.53
Sf-2,8.22,7.08
Mir-0,6.92,7.81
Gre-0,7.9,5.49
Mt-0,5.32,6
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,7.26
Mir-0,6.86,5.85
Gre-0,6.45,NA
Mt-0,5.29,5.22
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,6.79
Mir-0,6.96,5.14
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,3.34
Mir-0,4,4.42
Gre-0,5.31,NA
Mt-0,2.77,2.78
Col-0,3.36,NA
GA1,2.31,2.36
Sf-2,5.91,5.24
Mir-0,3.71,4.72
Gre-0,3.88,4.44
Mt-0,3.37,2.54
Col-0,2.48,NA
GA1,2.56,1.91
