genotype,concentration,length
Kas1-1,0.03,9.89
Or-0,0.03,7.99
Pi-0,0.03,9.72
Col-0,0.03,7.6
phyA 211,0.03,10.35
Lm-2,0.01,12.53
Kas1-1,0.01,11.74
Or-0,0.01,10.18
Pi-0,0.01,9.66
Col-0,0.01,6.75
phyA 211,0.01,11.95
Lm-2,0,15.53
Kas1-1,0,12.19
Or-0,0,8.31
Pi-0,0,9.93
Col-0,0,9.43
phyA 211,0,11.35
Lm-2,19,2.53
Kas1-1,19,1.71
Or-0,19,0.66
Pi-0,19,0.87
Col-0,19,0.86
phyA 211,19,11.04
Lm-2,4.9,2.5
Kas1-1,4.9,3.1
Or-0,4.9,0.79
Pi-0,4.9,0.85
Col-0,4.9,0.73
phyA 211,4.9,10.64
Lm-2,1.2,11.45
Kas1-1,1.2,2.16
Or-0,1.2,1.26
Pi-0,1.2,1.32
Col-0,1.2,1.6
phyA 211,1.2,12.96
Lm-2,0.44,11.4
Kas1-1,0.44,6.19
Or-0,0.44,2.37
Pi-0,0.44,3.84
Col-0,0.44,3.18
phyA 211,0.44,11.83
Lm-2,0.14,13.38
Kas1-1,0.14,7.79
Or-0,0.14,5.04
Pi-0,0.14,6.97
Col-0,0.14,5.48
phyA 211,0.14,7.04
Lm-2,0.03,11
Kas1-1,0.03,9.6
Or-0,0.03,7.16
Pi-0,0.03,8.63
Col-0,0.03,11.98
phyA 211,0.03,8.52
Lm-2,0.01,11.91
Kas1-1,0.01,10.17
Or-0,0.01,9.06
Pi-0,0.01,8.45
Col-0,0.01,10.07
phyA 211,0.01,6.81
Lm-2,0,14.64
Kas1-1,0,12.24
Or-0,0,10.44
Pi-0,0,13.68
Col-0,0,7.73
phyA 211,0,10.61
Lm-2,19,1.66
Kas1-1,19,1.78
Or-0,19,0.66
Pi-0,19,0.74
Col-0,19,0.72
phyA 211,19,12.67
Lm-2,4.9,4.25
Kas1-1,4.9,2.88
Or-0,4.9,0.87
Pi-0,4.9,0.66
Col-0,4.9,0.76
phyA 211,4.9,12.08
Lm-2,1.2,10.42
Kas1-1,1.2,2.14
Or-0,1.2,1.15
Pi-0,1.2,1.26
Col-0,1.2,1.38
phyA 211,1.2,9.22
Lm-2,0.44,12.2
Kas1-1,0.44,6.3
Or-0,0.44,2.76
Pi-0,0.44,3.02
Col-0,0.44,4.18
phyA 211,0.44,13.24
Lm-2,0.14,12.84
Kas1-1,0.14,8
Or-0,0.14,5.33
Pi-0,0.14,4.19
Col-0,0.14,7.46
phyA 211,0.14,8.94
Lm-2,0.03,11.6
Kas1-1,0.03,9.74
Or-0,0.03,10.39
Pi-0,0.03,10.9
Col-0,0.03,9.07
phyA 211,0.03,8.61
Lm-2,0.01,12.98
Kas1-1,0.01,10.27
Or-0,0.01,9.32
Pi-0,0.01,9.01
Col-0,0.01,12.93
phyA 211,0.01,9.08
Lm-2,0,13.34
Kas1-1,0,11.52
Or-0,0,10.95
Pi-0,0,13.92
Col-0,0,11.36
phyA 211,0,10.98
Lm-2,19,1.56
Kas1-1,19,1.98
Or-0,19,1.18
Pi-0,19,0.76
Col-0,19,0.87
phyA 211,19,11.38
Lm-2,4.9,3
Kas1-1,4.9,1.9
Or-0,4.9,0.87
Pi-0,4.9,0.82
Col-0,4.9,0.89
phyA 211,4.9,12.68
Lm-2,1.2,9
Kas1-1,1.2,2.4
Or-0,1.2,1.01
Pi-0,1.2,0.89
Col-0,1.2,1.41
phyA 211,1.2,11.31
Lm-2,0.44,11.23
Kas1-1,0.44,7.9
Or-0,0.44,2.93
Pi-0,0.44,1.38
Col-0,0.44,4.8
phyA 211,0.44,11.89
Lm-2,0.14,11.91
Kas1-1,0.14,9.92
Or-0,0.14,6.82
Pi-0,0.14,6.63
Col-0,0.14,6.83
phyA 211,0.14,8
Lm-2,0.03,10.86
Kas1-1,0.03,9.89
Or-0,0.03,9.23
Pi-0,0.03,11.25
Col-0,0.03,12.36
phyA 211,0.03,10.97
Lm-2,0.01,12.82
Kas1-1,0.01,11.67
Or-0,0.01,7.88
Pi-0,0.01,9.2
Col-0,0.01,6.2
phyA 211,0.01,9.88
Lm-2,0,13.04
Kas1-1,0,11.17
Or-0,0,10.75
Pi-0,0,10.22
Col-0,0,12.92
phyA 211,0,7.57
