genotype,concentration,length
Col-0,0.74,6
hy4,0.74,5.33
Se-0,0.12,12.41
Ge-0,0.12,8.55
Te-0,0.12,7.45
Mt-0,0.12,6.97
Col-0,0.12,10.15
hy4,0.12,5.91
Se-0,0.09,6.64
Ge-0,0.09,9.38
Te-0,0.09,7.62
Mt-0,0.09,8.26
Col-0,0.09,8
hy4,0.09,6.76
Se-0,0,8.12
Ge-0,0,15.47
Te-0,0,7.72
Mt-0,0,10.09
Col-0,0,9.75
hy4,0,10.38
Se-0,37,5.58
Ge-0,37,5.87
Te-0,37,2.66
Mt-0,37,4.23
Col-0,37,2.99
hy4,37,8.95
Se-0,21,4.15
Ge-0,21,5.76
Te-0,21,4.72
Mt-0,21,4.44
Col-0,21,2.68
hy4,21,6.34
Se-0,3.9,2.87
Ge-0,3.9,4.9
Te-0,3.9,3.38
Mt-0,3.9,4.54
Col-0,3.9,3.63
hy4,3.9,6.45
Se-0,0.74,8.16
Ge-0,0.74,8.85
Te-0,0.74,5.14
Mt-0,0.74,7.56
Col-0,0.74,5.97
hy4,0.74,6.81
Se-0,0.12,8.4
Ge-0,0.12,8.12
Te-0,0.12,8.32
Mt-0,0.12,8.84
Col-0,0.12,8.32
hy4,0.12,7.7
Se-0,0.09,9.67
Ge-0,0.09,10.37
Te-0,0.09,7.69
Mt-0,0.09,8.18
Col-0,0.09,8.81
hy4,0.09,7.07
Se-0,0,NA
Ge-0,0,14.74
Te-0,0,9.22
Mt-0,0,8.69
Col-0,0,8.53
hy4,0,8.39
Se-0,37,6.58
Ge-0,37,4.58
Te-0,37,1.99
Mt-0,37,4.03
Col-0,37,4.14
hy4,37,6.18
Se-0,21,3.43
Ge-0,21,6.18
Te-0,21,2.01
Mt-0,21,4.23
Col-0,21,3.52
hy4,21,6.3
Se-0,3.9,5.27
Ge-0,3.9,7.48
Te-0,3.9,4.27
Mt-0,3.9,4.32
Col-0,3.9,3.78
hy4,3.9,6.73
Se-0,0.74,9.05
Ge-0,0.74,8.21
Te-0,0.74,7.98
Mt-0,0.74,8.22
Col-0,0.74,7.99
hy4,0.74,5.12
Se-0,0.12,7.28
Ge-0,0.12,9.33
Te-0,0.12,9.59
Mt-0,0.12,9.77
Col-0,0.12,8.78
hy4,0.12,7.76
